name,sites,lnL,parameters,subsets,aic,aicc,bic
step_143,249438,-1085833.09,3788,371,2179242.19,2179359.04,2218739.53
step_144,249438,-1085837.11,3778,370,2179230.21,2179346.45,2218623.29
step_145,249438,-1085841.12,3768,369,2179218.24,2179333.85,2218507.04
step_146,249438,-1085845.15,3758,368,2179206.31,2179321.30,2218390.84
step_147,249438,-1085849.19,3748,367,2179194.38,2179308.76,2218274.65
step_148,249438,-1085853.25,3738,366,2179182.51,2179296.28,2218158.51
step_149,249438,-1085857.33,3728,365,2179170.66,2179283.82,2218042.39
step_150,249438,-1085861.45,3718,364,2179158.91,2179271.45,2217926.37
step_151,249438,-1085865.60,3708,363,2179147.20,2179259.14,2217810.39
step_152,249438,-1085869.76,3698,362,2179135.52,2179246.85,2217694.44
step_153,249438,-1085873.93,3688,361,2179123.86,2179234.58,2217578.51
step_154,249438,-1085878.11,3678,360,2179112.23,2179222.34,2217462.60
step_155,249438,-1085882.32,3668,359,2179100.64,2179210.16,2217346.75
step_156,249438,-1085886.57,3658,358,2179089.14,2179198.06,2217230.98
step_157,249438,-1085890.85,3648,357,2179077.70,2179186.01,2217115.27
step_158,249438,-1085895.15,3638,356,2179066.30,2179174.02,2216999.60
step_159,249438,-1085899.48,3628,355,2179054.95,2179162.08,2216883.98
step_160,249438,-1085903.82,3618,354,2179043.63,2179150.16,2216768.40
step_161,249438,-1085908.21,3608,353,2179032.42,2179138.36,2216652.91
step_162,249438,-1085912.21,3598,352,2179020.43,2179125.78,2216536.65
step_163,249438,-1085916.63,3588,351,2179009.26,2179114.02,2216421.21
step_164,249438,-1085921.13,3578,350,2178998.27,2179102.44,2216305.95
step_165,249438,-1085925.66,3568,349,2178987.31,2179090.90,2216190.72
step_166,249438,-1085930.18,3558,348,2178976.36,2179079.36,2216075.50
